id,operation,sub operation,specific location,department,title,description,immediate action taken,date of occurrence,issue_category,reporting_period,observation_category
97570,Angola,Sample Processing,Muconda_drill_site_Work Area / Access Paths,Security & Access,Unsafe condition,Slippery surface due to soil conditions that become very muddy when wet,"Warn workers about slippery conditions
Restrict access to high‑risk areas when possible
Install warning signs: “SLIPPERY SURFACE”
Ensure use of safety footwear with anti‑slip soles",2026-04-22T00:00:00.000Z,Safety,End-Month,Negative Observation
97569,Angola,Transport Activities,Muconda_drill_site,Heavy Duty Vehicles,Unsafe condition,Water tank is not properly installed and has an inadequate stand and damaged/poor cap,"Restrict use of the water tank if contamination risk exists
Provide an alternative safe drinking water source
Cover the tank opening temporarily to prevent contamination
Inform site management and facilities team",2026-04-22T00:00:00.000Z,Other,End-Month,Negative Observation
97567,Angola,Field Activities,Muconda_drill_site_acess_road,Other,Observation,An injured animal was found on the access road between the camp and the drill site,Drivers instructed to slow down and avoid the area and do not approach or handle the injured animal,2026-04-22T00:00:00.000Z,Safety,End-Month,Negative Observation
97566,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Unsafe condition,"The drilling hole is collapsing and forming a large cavity, destabilizing the drill hole","Stop drilling operations immediately
Establish an exclusion zone around the drill hole
Prevent personnel movement near the unstable area
Inform the drilling supervisor and site management
Conduct visual inspection of ground stability",2026-04-22T00:00:00.000Z,Other,End-Month,Negative Observation
97565,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Unsafe conditions,"Presence of Tsetse fly (Sleeping Sickness fly), indicating risk of Trypanosomiasis at the site","Inform all workers about the presence of tsetse flies
Advise workers to avoid bushy and shaded areas where possible
Encourage wearing of long‑sleeved clothing and trousers
Apply approved insect repellents on exposed skin
Monitor workers for bites and early symptoms",2026-04-22T00:00:00.000Z,Other,End-Month,Negative Observation
97564,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Unsafe conditions,Road surface is sliding and unstable as a result of heavy rainfall in the area,"Reduce vehicle speed significantly
Inform all drivers about the road condition
Restrict travel during heavy rain where possible
Use suitable vehicles for wet and muddy conditions
Increase driver caution on slopes and turns",2026-04-22T00:00:00.000Z,Safety,End-Month,Negative Observation
97562,Angola,Field Activities,Muconda_drill_site,Materials Handling,Unsafe act,Lack of communication during the lifting activity,"Stop the lifting activity until clear communication is established
Assign a competent banksman / signaler
Ensure only one person gives lifting instructions
Re‑brief the lifting team before resuming work",2026-04-22T00:00:00.000Z,Other,End-Month,Negative Observation
97560,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Unsafe conditions,Crew is not keeping themselves adequately hydrated,Remind the crew to drink water regularly and monitor workers for signs of dehydration or heat stress,2026-04-22T00:00:00.000Z,Other,End-Month,Negative Observation
97545,RSA Support Services,IML,Discovery Services - Main Complex,Facilities & Infrastructure,Observation,The Argonite cylinder at the back to the bunker has no visible inspection stickers.,Engage with EMPACT and they informed me the next inspection will be in 2029. Was requested to have some updated label  on or near the cylinders by the service provider to indicate the next inspection is due 2029.,2026-04-21T00:00:00.000Z,Other,End-Month,Negative Observation
97544,RSA Support Services,IML,Discovery Services  - Main Complex,Facilities & Infrastructure,Observation,During a SHE Rep inspection it was noted there is some rust on the emergency staircase. Not sure when the last an inspection was done to make use the staircase is safe for use.,"Engage with the EMPACT to ensure the emergency staircase is safe for use. A visual inspection on the steps; no defects were found by the EMPACT team. Minor maintenance to be done, rust removal and red oxide will be applied followed with painting on the areas.
",2026-04-21T00:00:00.000Z,Emergency Preparedness,End-Month,Negative Observation
97540,Angola,Field Facilities,Muconda Guest house,Accommodation (Third Party),Some door handel missing on room and bathroom doors,Some doors handle are missing on door with the potential to lock yourself in a bathroom,Some locks and handles have been replaced and outstanding handles will be completed within the week,2026-04-16T00:00:00.000Z,Other,Mid-Month,Negative Observation
97538,Angola,Field Facilities,Muconda guest house,Accommodation (Third Party),Sink loose in kitchen,It was notice that the sink and water drain pipe was loose in the kitchen,The water feed supplying the sink was closed and taken out of use till repaired. The sink has been repaired and drain pipe secured,2026-04-17T00:00:00.000Z,Other,Mid-Month,Negative Observation
97537,Angola,Transport Activities,Muconda Drill Camp,Light Vehicles,Noise coming from under vehicle while driving,A scraping noise was heard from under the vehicle,It was inspected and noted that a branch had dislodged the steel dustcover protecting the gearbox seal and retelling. I was repaired on site,2026-04-15T00:00:00.000Z,Safety,Mid-Month,Negative Observation
97535,Angola,Field Facilities,Lucapa camp ladies ablutions,Accommodation (Company Owned),water leak at back of ladies toilet,Water pipe feeding the laundry and ladies toilet cracked and started leaking,Reported to Opps team and the leak was immediately repaired,2026-04-21T00:00:00.000Z,Other,End-Month,Negative Observation
97533,Angola,Field Facilities,Lucapa Camp,Accommodation (Company Owned),Fence Support at front gate broke from moment from wind over years,Fence Support pole at front gate broke from moment from wind over years,It was reported and the maintenance team replaced two supporting poles,2026-04-21T00:00:00.000Z,Other,End-Month,Negative Observation
97530,Angola,Field Facilities,Lucapa Workshop,Workshop,Cellphone destraction,It was noticed that some employees get very distracted by their phones and don't even notice when you enter.,It is immediately addressed and if it continues phones will not be allowed in high-risk areas. It was also discussed in the toolbox talks,2026-04-16T00:00:00.000Z,Other,Mid-Month,Negative Observation
97528,Angola,Transport Activities,Lucapa Camp,Heavy Duty Vehicles,Truck delivering fuel got stuck at the front entrance,Truck delivering fuel got stuck at the front entrance and needed to be pulled out with a second truck,It was reported and the DeBeers driver and team assisted to recover the truck,2026-04-11T00:00:00.000Z,Other,Mid-Month,Negative Observation
97512,Angola,Company Offices,Muconda_drill_site,Facility & Infrastructure,Unsafe act,Walkways and access routes partially obstructed,Remove waste and unnecessary materials immediately and clear walkways and access routes,2026-04-21T00:00:00.000Z,Other,End-Month,Negative Observation
97510,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Unsafe condition,General untidy conditions increasing safety risks,Assign housekeeping responsibilities to crews and conduct a site clean‑up activity,2026-04-21T00:00:00.000Z,Other,End-Month,Negative Observation
97508,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Unsafe condition,Waste materials left scattered on site,"Remove waste and unnecessary materials immediately and Clear walkways and access routes
",2026-04-21T00:00:00.000Z,Environmental,End-Month,Negative Observation
97507,Angola,Field Activities,Muconda_drill_site,Materials Handling,Unsafe conditions,"Poorly stored tools, equipment, and materials",Ensure tools and equipment are properly stored,2026-04-21T00:00:00.000Z,Other,End-Month,Negative Observation
97506,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Unsafe condition,Work areas not kept clean and orderly,Remove waste and unnecessary materials immediately and conduct a site clean‑up activity,2026-04-21T00:00:00.000Z,Other,End-Month,Negative Observation
97505,Angola,Sample Processing,Muconda_fly_camp,Waste Management,Unsafe conditions,The waste management system presents inadequacies characterized by the improper disposal of organic and plastic waste,"Separate organic and plastic waste immediately
Provide clearly labeled waste bins for segregation
Remove accumulated waste without delay
Clean and disinfect waste storage areas",2026-04-21T00:00:00.000Z,Environmental,End-Month,Negative Observation
97504,Angola,Transport Activities,Acess road,Light Vehicles,Hazardous  observation,"The access road shows signs of deterioration, including damaged surface and erosion",Inform all drivers of the road condition and reduce vehicle speed on the access road restrict access during adverse weather if required,2026-04-21T00:00:00.000Z,Safety,End-Month,Negative Observation
97503,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Good observation,"Workers proactively ensured they remained well‑hydrated, especially during physically demanding tasks",Congratulate the team and keep up working safely,2026-04-21T00:00:00.000Z,Other,End-Month,Positive Observation
97501,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Unsafe condition,Workers are exposed to smoke inhalation as a result of the prevention method used against flies/insects (burning/smoking).,"Stop burning activities when workers are present nearby and relocate burning area away from work and accommodation zones, inform workers to avoid smoke-affected areas",2026-04-21T00:00:00.000Z,Health / Hygiene,End-Month,Negative Observation
97500,Angola,Transport Activities,Muconda_drill_site,Other,Hazardous observations,"Potholes are filled with mud, especially after rainfall",Reduce vehicle speed on the access road and inform all drivers about the road condition,2026-04-21T00:00:00.000Z,Other,End-Month,Negative Observation
97433,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Good observation,The Operator and Assistant were observed communicating clearly and effectively during work activities instructions and information were shared in a timely manner and  both parties confirmed understanding before proceeding with tasks,Strong demonstration of positive safety culture,2026-04-20T00:00:00.000Z,Other,Mid-Month,Positive Observation
97427,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Good observation,The crew maintained proper housekeeping on site,Congratulate the team,2026-04-20T00:00:00.000Z,Safety,Mid-Month,Positive Observation
97425,Angola,Field Activities,Muconda_road_acess,Other,Road acess Unsafe condition,Excessive tree roots on the ground creating trip and fall hazards,Improve housekeeping and remove loose debris around tree roots,2026-04-20T00:00:00.000Z,Other,Mid-Month,Negative Observation
97422,Angola,Company Offices,Muconda_fly_camp,Facility & Infrastructure,Unsafe conditions,Large number of flies observed continuously during the day,Remove and properly dispose of all food and organic waste,2026-04-20T00:00:00.000Z,Health / Hygiene,Mid-Month,Negative Observation
97420,Angola,Company Offices,Muconda_bridge,Facility & Infrastructure,Unsafe condition,Uneven walking surface on the bridge,"Mandatory use of safety footwear with good grip
No running or jumping on the bridge
Increased caution during wet conditions",2026-04-20T00:00:00.000Z,Other,Mid-Month,Negative Observation
97416,Angola,Company Offices,Muconda_drill_site,Facility & Infrastructure,Unsafe condition,Crossing bridge becomes unstable when carrying heavy loads,Restrict access for heavy loads immediately,2026-04-20T00:00:00.000Z,Other,Mid-Month,Negative Observation
97414,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Unsafe condition,Poor hygiene condition of the water cooler / water cool box,Immediately remove the water cool box from service and clean and disinfect the water cooler thoroughly,2026-04-20T00:00:00.000Z,Health / Hygiene,Mid-Month,Negative Observation
97411,Angola,Field Activities,Muconda_drill_site,Other,Hazardous observation,Wild / domestic animals crossing the road on the way to the drill site,"Inform all drivers during toolbox talks and safety briefings, enforce reduced speed limits on access roads and
Increase driver vigilance, especially in wildlife-prone areas",2026-04-20T00:00:00.000Z,Safety,Mid-Month,Negative Observation
97409,Angola,Transport Activities,Muconda_drill_site,Other,Hazardous observation,Presence of a significant hole/pothole on the road surface,Communicate hazard to all drivers via toolbox talk / safety alert,2026-04-20T00:00:00.000Z,Safety,Mid-Month,Negative Observation
97407,Angola,Transport Activities,Muconda_drill_site,Light Vehicles,Hazardous observation,Tree branches obstructing the access road,Enforce reduced vehicle speed limits,2026-04-20T00:00:00.000Z,Safety,Mid-Month,Negative Observation
97404,Angola,Company Offices,Muconda_fly_camp,Facility & Infrastructure,Unsafe condition,Malfunctioning toilets in the main ablution block,"Isolate faulty toilets and place “OUT OF ORDER” signage and activate urgent maintenance (plumbing / sanitation)
",2026-04-20T00:00:00.000Z,Other,Mid-Month,Negative Observation
97385,Angola,Transport Activities,Angola Vehicle Audit,Light Vehicles,Vehicle Physical Conditions,"Poor housekeeping in front of Ambulance (full and empty bottles of water between seats, glove box full of waste) and water stacked in back of Ambulance in walkway. This also have been identified in other operational vehicles",Conditions have been immediately fixed and vehicles has been cleaned,2026-04-14T00:00:00.000Z,Safety,Mid-Month,Negative Observation
97384,Angola,Transport Activities,Angola Vehicle Audit,Light Vehicles,Vehicle Physical Conditions,"Vehicles parked at operational areas, without stop blocks/choke block",Informed Joao and It was replaced with immediate effect,2026-04-14T00:00:00.000Z,Safety,Mid-Month,Negative Observation
97383,Angola,Transport Activities,Angola Vehicle Audit,Light Vehicles,Vehicle Physical Condition,Some vehicles does not have Reflective Vest,Informed George and he replaced immediately,2026-04-11T00:00:00.000Z,Safety,Mid-Month,Negative Observation
97382,Angola,Transport Activities,Angola Vehicle Audit,Light Vehicles,Vehicle Physical Conditions,Identified that some vehicle does not have the 3 triangles as per requirements,Informed George to install,2026-04-11T00:00:00.000Z,Safety,Mid-Month,Negative Observation
97381,Angola,Transport Activities,Angola Vehicle Audit,Light Vehicles,OFI - Checklist,OFI - Vehicle Checklist: Pages are not removed from checklist books and replaced when book is full,"OFI - Vehicle Checklist: Due to pink page is not being removed from checklist, the book can be amended with all pink pages to be replaced as white (non-tear out)",2026-04-11T00:00:00.000Z,Safety,Mid-Month,Negative Observation
97380,Angola,Transport Activities,Angola Vehicle Audit,Light Vehicles,Recovery Simulation,"Has been discussed during toolbox talks and real-life events, however no simulation yet conducted",Schedule Simulation drill at least for every 6 months,2026-04-11T00:00:00.000Z,Safety,Mid-Month,Negative Observation
97286,Angola,Company Offices,Offices,Office Activities,Uniform replacement,"Aqua Oceanus has replaced its uniforms to eliminate the need for reflective vests, as the new PPE already incorporates reflective elements. This measure aims to reduce clothing use because of the high temperatures during work in the basements.",Were congratulated.,2026-04-15T00:00:00.000Z,Safety,Mid-Month,Negative Observation
97184,Angola,Company Offices,Offices,Office Activities,"On the 9th floor, the hand sanitiser has a faulty dispenser.","Colleague Genoveva Matxitxi reported observed and reported - On the 9th floor, the hand sanitiser has a faulty dispenser.",De Beers maintenance team was called to fix.,2026-04-14T00:00:00.000Z,Other,Mid-Month,Negative Observation
97156,Angola,Company Offices,Offices,Facility & Infrastructure,A screwdriver left on a balcony in the building.,"A screwdriver was found on the 9th-floor balcony of the building. It was left there by the Aquaoceanus maintenance team whilst carrying out work on 10 March 2026.
A lack of control over equipment can lead to replacement costs.","Maintenance team was coalled and removed the screwdriver.
short safety talk was conducted.",2026-04-13T00:00:00.000Z,Other,Mid-Month,Negative Observation
97155,Angola,Company Offices,Offices,Security & Access,Good service,The building's control room service team has been providing excellent service and has received praise for this.,They have been informed of their good performance.,2026-04-10T00:00:00.000Z,Safety,Beginning,Positive Observation
97127,Angola,Company Offices,Offices,Facility & Infrastructure,People carrying water gallon without using a trolley,Securitys workers were found carrying 18.9-liter water gallons without using a trolley. This action poses musculoskeletal risks.,"1. The activity was stopped, and they were instructed to use the proper equipment for material transportation. 
2. A brief discussion was held regarding working conditions and workplace safety.",2026-04-13T00:00:00.000Z,Other,Mid-Month,Negative Observation
97084,Angola,Transport Activities,Muconda_Fly_camp,Light Vehicles,Unsafe condition,"During the transportation of fuel in a vehicle, it was observed that one of the fuel containers (jerry cans) was not properly closed, resulting in a small amount of fuel spilling onto the vehicle’s cargo area.","Ensure all fuel containers are properly closed and sealed before transportation
Secure fuel containers to prevent movement during transit
Conduct pre‑use inspections prior to fuel transportation
Clean any spilled fuel immediately using appropriate absorbent materials
Reinforce training and awareness for drivers on safe fuel handling and transport",2026-04-14T00:00:00.000Z,Safety,Mid-Month,Negative Observation
96965,Angola,Transport Activities,"Airport Internacional Dr. António Agostinho Neto, in Luanda",Other,Paramedic do not followed DB protocol to leave the airport.,"On 11/04/2026, a non-conformance occurred at Dr. António Agostinho Neto Airport, in which paramedic Mr. Ashley Sias, arriving from South Africa, used a driver from your company without informing us, leaving the De Beers driver waiting at the airport until he was located.  He remained unaccounted for approximately two hours, from 20:18 to 22:15.
 
","This situation triggered our emergency measures to locate him, including ISOS management.",2026-04-13T00:00:00.000Z,Safety,Mid-Month,Negative Observation
96923,Angola,Company Offices,Muconda_fly_camp,Office Activities,Unsafe condition,"Lack of air conditioning in two container offices, resulting in inadequate ventilation and thermal discomfort for occupants.",Reported to fleet manager,2026-04-13T00:00:00.000Z,Other,Mid-Month,Negative Observation
96922,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Company Owned),Hazardous observation,"Insufficient lighting identified in the toilet facilities, creating poor visibility conditions and potential safety risks.","Reduced visibility may lead to slips, trips, and hygiene-related concerns",2026-04-13T00:00:00.000Z,Safety,Mid-Month,Negative Observation
96919,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Hazardous observaton,"Lack of routine monitoring of pest activity on site.
","
Establish a pest control inspection schedule and maintain records of findings and corrective actions.",2026-04-13T00:00:00.000Z,Other,Mid-Month,Negative Observation
96917,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Company Owned),Hazardous observation,"Fly activity was noted around waste storage and disposal areas.
","
Relocate waste storage areas away from accommodation and apply pest deterrent measures.",2026-04-13T00:00:00.000Z,Environmental,Mid-Month,Negative Observation
96916,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Hazardous observation,"Flies may contaminate surfaces and food, posing a health risk.
Corrective Measure:
Disinfect affected surfaces regularly and reinforce hygiene practices among staff and residents.",Disinfect affected surfaces regularly and reinforce hygiene practices among staff and residents.,2026-04-13T00:00:00.000Z,Health / Hygiene,Mid-Month,Negative Observation
96915,Angola,Sample Processing,Muconda_fly_camp,Waste Management,Hazardous observation,"Standing water was observed in some areas, creating favorable conditions for flies.
",Eliminate standing water by improving drainage and promptly repairing water leaks.,2026-04-13T00:00:00.000Z,Health / Hygiene,Mid-Month,Negative Observation
96914,Angola,Sample Processing,Muconda_fly_camp,Waste Management,Hazardous observation,"Organic waste accumulation may be creating breeding grounds for flies.
",Improve waste segregation and ensure timely removal of organic waste from the site.,2026-04-13T00:00:00.000Z,Environmental,Mid-Month,Negative Observation
96913,Angola,Field Facilities,Muconda_fly_camp,General Storage,Hazardous observation,"Open waste bins were attracting flies.
","Ensure all waste bins are fitted with lids, emptied daily, and cleaned regularly.",2026-04-13T00:00:00.000Z,Environmental,Mid-Month,Negative Observation
96911,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Hazardous observation,"Poor waste management may be contributing to the infestation.
",Ensure waste is disposed of daily in closed containers and bins are cleaned regularly.,2026-04-13T00:00:00.000Z,Environmental,Mid-Month,Negative Observation
96910,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Hazardous observations,"The infestation may spread if not addressed promptly.
",Assign responsibility for immediate follow‑up and monitor the effectiveness of corrective actions.,2026-04-13T00:00:00.000Z,Other,Mid-Month,Negative Observation
96909,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),hazardous observation,"Ants may be transported into rooms or kitchens via footwear.
",Provide entry‑point mats and raise awareness among personnel to check footwear when entering tents and offices.,2026-04-13T00:00:00.000Z,Other,Mid-Month,Negative Observation
96908,Angola,Field Facilities,Muconda_fly_camp,Kitchen,Hazardous observation,"Workers may experience discomfort or bites when passing through the affected area.
",Restrict access to infested areas until pest control activities are completed and effective.,2026-04-13T00:00:00.000Z,Other,Mid-Month,Negative Observation
96907,Angola,Field Facilities,Muconda_fly_camp,Kitchen,Hazardous observation,"Risk of food contamination exists if ants access dining or food storage areas.
",Store all food in sealed containers and conduct regular cleaning of dining areas.,2026-04-13T00:00:00.000Z,Health / Hygiene,Mid-Month,Negative Observation
96906,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Hazardous observation,"Potential food residues may be attracting ants to the area.
","Enforce strict housekeeping practices, ensuring no food remnants are left in open areas.",2026-04-13T00:00:00.000Z,Health / Hygiene,Mid-Month,Negative Observation
96905,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Hazardous observation,"The infestation is close to accommodation and common areas.
",Conduct routine inspections around accommodation facilities and seal entry points to prevent insect ingress.,2026-04-13T00:00:00.000Z,Other,Mid-Month,Negative Observation
96904,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Hazardous observation,"Ant activity is present along a frequently used walkway.
",Clean and sanitize walkways regularly and apply appropriate insect barriers where necessary.,2026-04-13T00:00:00.000Z,Other,Mid-Month,Negative Observation
96903,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Hazardous observation,High ant activity suggests the presence of nearby food sources or waste that may be attracting insects.,Conduct routine inspections around accommodation facilities and seal entry points to prevent insect ingress.,2026-04-13T00:00:00.000Z,Environmental,Mid-Month,Negative Observation
96902,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Hazardous observation,"A large number of ants were observed moving in organized trails within the camp area, particularly along walkways near accommodation and common areas.",Improve housekeeping and waste management practices and monitor affected areas regularly,2026-04-13T00:00:00.000Z,Other,Mid-Month,Negative Observation
96843,Angola,Field Facilities,Lucapa - Kitchen,Kitchen,Water seeping into the roof,"During the rainy season, water has been seeping in from the kitchen ceiling, leaving the floor completely wet.","This was reported during hazard identification in the toolbox, and the operations team has taken note and will take the necessary steps to improve conditions.",2026-04-10T00:00:00.000Z,Safety,Beginning,Negative Observation
96842,Angola,Field Facilities,Lucapa - Laundry Room,Accommodation (Company Owned),Lack of fan,There is no ventilation in the laundry room,"When the team is working in the laundry room, an excessive temperature is noticeable; however, the installation of a fan has been requested.
",2026-04-10T00:00:00.000Z,Other,Beginning,Negative Observation
96841,Angola,Field Facilities,Lucapa - Kitchen,Kitchen,Burnt-out light bulbs in the kitchen,"Burnt-out light bulbs in the kitchen

There are burnt-out light bulbs in the kitchen, hindering visibility during the night shift as well as during the day shift while moving around the storeroom.",It has been reported to the operations team and they will make the necessary replacement.,2026-04-10T00:00:00.000Z,Other,Beginning,Negative Observation
96840,Angola,Field Facilities,Lucapa-Camp,Accommodation (Company Owned),Damaged shower,There are 2 showers in the ladies' restroom that are not working.,This has been reported in the toolbox and the operations team has been informed and will replace them.,2026-04-10T00:00:00.000Z,Other,Beginning,Negative Observation
96808,Botswana,Field Facilities,Tsabong Field Camp.,Accommodation (Company Owned),A spider spotted within the portacabin 15 (used to be the Paramedic Clinic).,A spider spotted within the portacabin 15 (used to be the Paramedic Clinic).,"The team onsite alerted of the presence of spiders and scorpions in the camp, therefore advised remaining vigilant and always SLAM.",2026-04-07T00:00:00.000Z,Safety,Beginning,Negative Observation
96807,Botswana,Field Facilities,Tsabong Field Camp.,Accommodation (Company Owned),The cover for fire extinguisher damaged (torn) due to exposure to sun.,The cover for fire extinguisher damaged (torn) due to exposure to sun.,The worn-out cover removed and replaced by another one.,2026-04-06T00:00:00.000Z,Safety,Beginning,Negative Observation
96806,Botswana,Field Facilities,Tsabong Field Camp.,Accommodation (Company Owned),A Scorpion sited inside the guard room.,A Scorpion sited inside the guard room.,The Scorpion removed and the field crew alerted of the presence of dangerous creatures around the camp. The team advised to always SLAM.,2026-04-02T00:00:00.000Z,Safety,Beginning,Negative Observation
96777,Angola,Field Facilities,Muconda_fly-camp,Kitchen,Good obsrvation,Cleaning schedules for kitchens and dining areas were displayed and followed.,Working schedules program and team management,2026-04-09T00:00:00.000Z,Other,Beginning,Positive Observation
96775,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Good observation,Tools and equipment were maintained in good working condition.,Good job and well-done team,2026-04-08T00:00:00.000Z,Other,Beginning,Positive Observation
96774,Angola,Field Facilities,Muconda _Fly_camp,Accommodation (Tented),Good observation,Housekeeping responsibilities were clearly assigned to personnel.,Improve the team management plan,2026-04-08T00:00:00.000Z,Safety,Beginning,Positive Observation
96773,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Good observation,Good compliance with site housekeeping and organization standards was observed.,Congratulate the team,2026-04-07T00:00:00.000Z,Safety,Beginning,Positive Observation
96771,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Good observation,Overall site conditions reflected a positive safety culture and strong attention to hygiene and organization.,Congratulate the operation team,2026-04-08T00:00:00.000Z,Health / Hygiene,Beginning,Positive Observation
96769,Angola,Field Facilities,Muconda fly_camp,Accommodation (Tented),Good observation,"Hazardous and sharp wastes were disposed of in approved, dedicated containers.",Good job and well-done team,2026-04-09T00:00:00.000Z,Environmental,Beginning,Positive Observation
96768,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Good observation,Waste bins were emptied regularly and maintained in a clean condition.,Good job and well done,2026-04-09T00:00:00.000Z,Environmental,Beginning,Positive Observation
96767,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Good observation,No waste accumulation was observed in active work areas.,Good drilling operations team,2026-04-09T00:00:00.000Z,Environmental,Beginning,Positive Observation
96766,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Tented),Good observation,"Waste containers were properly labeled, supporting effective waste segregation.",Congratulate the general service team,2026-04-09T00:00:00.000Z,Environmental,Beginning,Positive Observation
96765,Angola,Field Facilities,Muconda_drill_site,Accommodation (Tented),Good observation,Waste bins were available in adequate numbers across work areas.,Congratulate all the team,2026-04-09T00:00:00.000Z,Environmental,Beginning,Positive Observation
96764,Angola,Field Activities,Muconda drill_site,Materials Handling,Good observation,Serviceable and unserviceable tools were clearly identified and segregated.,Congratulate the team and let us follow the safety best practices,2026-04-09T00:00:00.000Z,Other,Beginning,Positive Observation
96762,Angola,Field Activities,Muconda_drill_site,Materials Handling,Good observation,Tools were properly stored in designated locations when not in use,Congratulate the drilling team and keep up working safely,2026-04-09T00:00:00.000Z,Other,Beginning,Positive Observation
96760,Angola,Field Activities,Muconda_drill_site,Other,Good observation,Walkways and emergency exits were clearly marked and kept free from obstructions.,Let follow the safety best practices,2026-04-09T00:00:00.000Z,Emergency Preparedness,Beginning,Positive Observation
96759,Angola,Field Activities,Muconda drill_site,Drilling (Core & LLD),Good observation,"Work areas were found to be clean and well‑organized, reducing slip, trip, and fall risks.",Congratulate the team and keep up working safely,2026-04-09T00:00:00.000Z,Other,Beginning,Positive Observation
96758,Angola,Sample Processing,Muconda_drill_site,Waste Management,Hazardous observation,"Absence of designated waste storage areas, leading to uncontrolled disposal practices","Establish designated, clearly marked waste storage areas in accordance with site layout and environmental requirements. Ensure these areas are maintained, secured, and used exclusively for controlled waste storage.",2026-04-08T00:00:00.000Z,Environmental,Beginning,Negative Observation
96757,Angola,Sample Processing,Muconda_fly_camp,Waste Management,Hazardous observation,"Overflowing bins not emptied regularly, contributing to environmental and health hazards",Increase the frequency of waste collection and bin emptying. Monitor bin capacity and ensure adequate bin numbers are provided to prevent overflow.,2026-04-08T00:00:00.000Z,Other,Beginning,Negative Observation
96755,Angola,Sample Processing,Muconda_drill,Waste Management,Hazardous obseravtion,"Accumulation of waste in work areas creating flyers and pest hazards
",Implement routine waste removal schedules and assign responsibility to ensure waste is cleared from work areas promptly. Prohibit temporary dumping of waste in operational zones and enforce housekeeping inspections.,2026-04-08T00:00:00.000Z,Environmental,Beginning,Negative Observation
96754,Angola,Sample Processing,Muconda,Waste Management,Muconda_drill_site,"Waste containers not clearly labeled, resulting in improper segregation of waste streams","Clearly label all waste containers according to waste type (general, recyclable, hazardous, organic, etc.), using color coding and signage. 
Conduct awareness training to ensure personnel understand and follow waste segregation requirements.",2026-04-08T00:00:00.000Z,Environmental,Beginning,Negative Observation
96752,Angola,Sample Processing,Muconda_drill_site,Storage & Handling,Unsafe condition,"Absence of tool accountability systems, increasing misuse and unsafe handling risks.",Implement tool accountability systems onsite,2026-04-08T00:00:00.000Z,Other,Beginning,Negative Observation
96751,Angola,Field Activities,Muconda_drill_site,Materials Handling,Hazardous observation,"Electrical tools stored without protection from dust, moisture, or mechanical damage.",Remove all damaged electrical tools from site without protection,2026-04-09T00:00:00.000Z,Safety,Beginning,Negative Observation
96750,Angola,Field Activities,Muconda_drill_site,Materials Handling,Hazardous observation,Damaged or defective tools stored together with serviceable tools with no identification.,Remove and replaced all damaged tools for the service area,2026-04-09T00:00:00.000Z,Other,Beginning,Negative Observation
96749,Angola,Field Facilities,Muconda_drill_site,General Storage,Hazards observation,"Lack of designated storage for hand tools, resulting in poor control and loss of equipment.",Improve the storage tools and equipment,2026-04-07T00:00:00.000Z,Other,Beginning,Negative Observation
96748,Angola,Field Activities,Muconda_drill_site,Materials Handling,Hazard observation,"Tools left unattended on floors or elevated surfaces, posing trip and falling‑object hazards.",Reported to supervisor team leader and organized the tools and equipment,2026-04-09T00:00:00.000Z,Other,Beginning,Negative Observation
96747,Angola,Field Activities,Muconda_drill_site,Drilling (Core & LLD),Hazards observation,Missing or unclear signage for designated work and storage areas.,Improve the safety signs onsite,2026-04-08T00:00:00.000Z,Other,Beginning,Negative Observation
